time,bus,id,length,bitcount,mode,bytes,b1,b2,b3,b4,b5,b6,b7,b8
0.103749,1,2D0,230000,119,Rx,8,0A,11,09,00,10,00,00,0E
0.104763,1,20,148000,78,Rx,3,00,00,07,,,,,
0.105009,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.105248,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.105496,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.106364,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.106586,1,23,214000,111,Rx,7,02,21,01,F1,00,00,3F,
0.110836,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.111088,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.111296,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.111940,1,2C1,232000,120,Rx,8,08,FC,FE,01,83,A7,00,F8
0.112950,1,2C4,230000,119,Rx,8,05,43,00,15,00,80,11,BC
0.116814,1,20,148000,78,Rx,3,00,00,07,,,,,
0.117082,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.117321,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.118404,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.118629,1,23,216000,112,Rx,7,02,21,01,F0,00,00,3E,
0.119099,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.122943,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.123169,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.128306,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.128889,1,20,148000,78,Rx,3,00,00,07,,,,,
0.129135,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.129373,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.129621,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.130477,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.130697,1,23,212000,110,Rx,7,02,20,01,EF,00,00,3C,
0.134967,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.135219,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.135428,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.135672,1,2D0,236000,122,Rx,8,0A,12,09,00,10,00,00,0F
0.136512,1,2C4,230000,119,Rx,8,05,3E,00,15,00,80,11,B7
0.140938,1,20,148000,78,Rx,3,00,00,07,,,,,
0.141206,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.141444,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.142530,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.142752,1,23,214000,111,Rx,7,02,22,01,F1,00,00,40,
0.143668,1,2C1,232000,120,Rx,8,08,FD,00,01,7D,A8,00,F6
0.147096,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.147249,1,320,144000,76,Rx,3,00,20,46,,,,,
0.147457,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.150849,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.151777,1,526,140000,74,Rx,3,24,15,04,,,,,
0.153065,1,20,148000,78,Rx,3,00,00,07,,,,,
0.153311,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.153559,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.153961,1,25,232000,120,Rx,8,00,16,88,00,82,82,82,51
0.154655,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.154880,1,23,216000,112,Rx,7,02,20,01,F0,00,00,3D,
0.156468,1,56F,126000,67,Rx,2,53,00,,,,,,
0.159160,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.159412,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.159621,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.160051,1,2C4,232000,120,Rx,8,05,3F,00,15,00,80,11,B8
0.164232,1,5D7,142000,75,Rx,3,64,00,00,,,,,
0.165138,1,20,148000,78,Rx,3,00,00,07,,,,,
0.165406,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.165958,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.166738,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.166957,1,23,210000,109,Rx,7,02,21,01,EF,00,00,3D,
0.167237,1,2D0,232000,120,Rx,8,0A,13,09,00,10,00,00,10
0.171231,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.171457,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.175419,1,2C1,232000,120,Rx,8,08,FD,00,01,7D,A8,00,F6
0.176415,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.177213,1,20,148000,78,Rx,3,00,00,07,,,,,
0.177459,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.177707,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.177972,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.178805,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.179030,1,23,216000,112,Rx,7,02,22,01,F2,00,00,41,
0.182579,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.183279,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.183532,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.183740,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.183976,1,2C4,228000,118,Rx,8,05,42,00,15,00,80,11,BB
0.189254,1,20,148000,78,Rx,3,00,00,07,,,,,
0.189522,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.189972,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.190846,1,22,238000,123,Rx,8,01,FC,01,FC,00,00,00,24
0.191066,1,23,212000,110,Rx,7,02,1F,01,EE,00,00,3A,
0.195346,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.195498,1,320,144000,76,Rx,3,00,20,46,,,,,
0.195707,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.195893,1,5D5,178000,93,Rx,5,56,00,00,00,00,,,
0.198957,1,2D0,232000,120,Rx,8,0A,13,09,00,10,00,00,10
0.201327,1,20,148000,78,Rx,3,00,00,07,,,,,
